3.351680,0.162014,4.971817
2.780597,0.162945,4.410051
1.801228,0.161160,3.412823
1.202146,0.161579,2.817932
1.000070,0.160987,2.609944
0.758880,0.162206,2.380940
0.675174,0.160768,2.282849
0.584468,0.162383,2.208302
0.548283,0.160863,2.156910
0.521859,0.163257,2.154428
0.444895,0.161522,2.060114
0.418283,0.162088,2.039166
0.407833,0.160736,2.015191
0.349911,0.162063,1.970544
0.305321,0.162384,1.929163
0.296912,0.160500,1.901915
0.272819,0.161268,1.885495
0.215851,0.161202,1.827866
0.231136,0.160550,1.836631
0.206042,0.161951,1.825547
0.197669,0.162459,1.822259
0.195124,0.160689,1.802016
0.131788,0.162602,1.757804
0.145966,0.163182,1.777785
0.123010,0.160936,1.732367
0.113321,0.161716,1.730478
0.083233,0.162257,1.705807
0.116563,0.161392,1.730487
0.094173,0.162181,1.715978
0.125877,0.160843,1.734310
0.077436,0.161479,1.692231
0.100023,0.160100,1.701027
0.079999,0.162228,1.702279
0.092967,0.160361,1.696579
0.054671,0.160568,1.660353
0.066604,0.162353,1.690131
0.073628,0.160949,1.683116
0.065208,0.161176,1.676963
0.049338,0.160431,1.653651
0.023012,0.159841,1.621423
0.051526,0.159838,1.649907
0.041747,0.161968,1.661431
0.035197,0.161271,1.647906
0.056449,0.160507,1.661523
0.058194,0.160348,1.661670
0.059433,0.161578,1.675212
0.049380,0.162208,1.671456
0.038862,0.162385,1.662709
0.032595,0.161323,1.645830
0.037755,0.160635,1.644107
0.032818,0.161400,1.646823
0.023303,0.161196,1.635266
0.028327,0.159836,1.626685
0.026233,0.161239,1.638618
0.038403,0.162184,1.660241
0.033902,0.161551,1.649416
0.022020,0.161958,1.641600
0.027046,0.162389,1.650939
0.023302,0.161685,1.640147
0.047769,0.160841,1.656175
0.031088,0.160098,1.632068
0.021048,0.161924,1.640290
0.027553,0.160707,1.634627
0.020758,0.160395,1.624707
0.009585,0.160377,1.613358
0.016110,0.160303,1.619137
0.005132,0.160917,1.614297
0.025252,0.160917,1.634426
0.017513,0.161675,1.634265
0.009222,0.162095,1.630172
0.010667,0.161851,1.629176
0.011842,0.162260,1.634443
0.009815,0.162673,1.636547
0.018391,0.161529,1.633683
0.015214,0.162305,1.638268
0.025026,0.161598,1.641009
0.015531,0.164213,1.657658
0.014701,0.160762,1.622316
0.008100,0.160669,1.614786
0.013058,0.161266,1.625714
0.014902,0.160238,1.617287
0.009965,0.160492,1.614885
0.007131,0.161427,1.621399
0.030912,0.161727,1.648182
0.008969,0.161434,1.623310
0.006285,0.160258,1.608867
0.013091,0.161884,1.631930
0.005112,0.161319,1.618305
0.008671,0.161784,1.626512
0.007727,0.160704,1.614766
0.033905,0.160696,1.640863
0.017909,0.161416,1.632069
0.023125,0.161963,1.642757
0.009106,0.161639,1.625493
0.009885,0.162774,1.637626
0.015592,0.160158,1.617175
0.006754,0.160955,1.616299
0.005757,0.162423,1.629990
0.007179,0.162447,1.631652
0.008683,0.161960,1.628286
