97.8400,52.5386
98.3400,56.3382
98.4500,70.8366
98.4400,71.8698
98.4400,79.4356
98.4300,77.9802
98.2100,80.6910
98.3600,82.9574
98.3000,86.0127
98.2700,84.7572
98.4900,86.7459
98.5100,86.9792
98.4400,87.8791
98.3200,86.1460
98.5300,86.6904
98.2600,89.0346
98.5400,87.1014
98.6800,89.5234
98.5200,87.4792
98.6500,88.8012
98.2900,88.6346
98.1100,87.7458
98.1300,88.3013
98.2500,87.9347
98.2600,88.9012
98.4200,87.3903
98.3700,89.8678
98.0800,90.5011
98.3500,89.9900
98.5700,88.9235
98.4600,89.7900
97.9800,89.5012
98.6300,87.3236
98.3400,90.0900
98.6100,88.4457
98.4500,89.0123
98.5800,89.1790
98.5400,86.7126
98.5500,90.3122
97.8400,88.3346
98.5200,89.1901
98.3700,90.3344
98.5900,87.9680
98.3800,88.1569
98.3700,89.2679
98.4600,89.6012
98.3400,88.7457
98.5800,89.9567
98.4200,90.1344
98.5000,87.9902
98.3400,87.8680
98.6600,88.1347
98.4400,88.0124
98.4300,90.7455
98.5200,89.1679
98.3700,89.0568
97.9900,87.5569
98.6600,90.5677
98.3300,87.8458
98.7400,91.7898
98.6800,88.3124
98.8000,90.6122
98.7600,90.2233
98.2000,87.2014
98.6300,86.4571
98.6400,89.8122
98.7100,88.2124
98.3800,90.1344
98.9200,88.6790
98.7100,87.9347
98.6500,89.2456
98.7900,90.4455
98.8300,89.9900
98.8600,89.8234
98.7300,90.2677
98.9800,91.4787
98.8600,90.2011
98.7800,91.1232
98.8100,89.6234
98.6500,90.6899
98.6400,90.2011
98.8700,90.6344
98.8100,87.8014
98.8400,92.0898
98.9200,92.0787
98.7100,88.6235
98.8600,89.5123
98.9400,89.9456
96.5000,87.0126
98.7800,91.0677
98.8400,90.9788
98.7500,89.5345
98.9100,91.2010
98.9500,89.1679
98.8400,90.1122
98.6300,89.8900
98.8400,92.4453
98.8600,91.8898
98.7100,91.1121
98.5500,89.1457
